[2023-06-26 23:53:00] [WARN] - Klassengruppe BM1_TE15B bereits vorhanden
[2023-06-26 23:53:00] [WARN] - Klassengruppe BM1_TE15B bereits vorhanden
[2023-06-26 23:53:00] [WARN] - Klassengruppe BM1_TE15B bereits vorhanden
[2023-06-26 23:53:00] [WARN] - Klassengruppe VWB18B bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM2_TE18B bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe VWB17B bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM2_TE18A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE15B bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE15A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE16B bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE15B bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE16B bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE16A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE15A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE15A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE15A BM1_TE15A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE15A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM1_TE16B bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe NPR17A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe PKB15A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe WTG16A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe REF16A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe KOE18A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe PMG15B bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe PKE15A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM2_TE18A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe DRO16A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe INF15A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe AUM16A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe PKE15A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe BM2_TE18A bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe PRM16C bereits vorhanden
[2023-06-26 23:53:01] [WARN] - Klassengruppe KOE18A bereits vorhanden
